,ID_Produkta,Ime_Produkta,Število_Ocen,Opis,Razpoložljivost,Partner,Cena
0,429649,Whirlpool WH1410 A+E zamrzovalna skrinja,262x,"Zamrzovalna skrinja v energijskem razredu F in klasično belo zasnovo s skupno prostornino 131 l, elektronskim upravljanjem in optičnim opozorilnim signalom. Whirlpool WH1410 A+E ima tehnologijo 6. čuta, zahvaljujoč kateremu hrano hranite v najboljših pogojih in bo dlje časa ohranila svojo svežino in kakovost.",JUTRI,Mimovrste,"239,99 €"
1,2506980,Gorenje FN4171CW zamrzovalna omara,102x,Gorenje zamrzovalna omara ima 194 litrov prostornine in spada v energijski razred F. Ima elektronsko upravljanje in posodo za led.,JUTRI,Mimovrste,"419,90 €"
2,2506981,Gorenje F4141PW zamrzovalna omara,88x,Gorenje zamrzovalna omara ima 165 litrov prostornine in spada v energijski razred F. Ima mehansko upravljanje.,JUTRI,Mimovrste,329 €
3,2516434,Gorenje F492PW zamrzovalna omara,24x,Prostostoječa zamrzovalna omara F492PW se zahvaljujoč odlični toplotni izolaciji in tesnilom na vratih uvršča v energijski razred F. Njena skupna prostornina znaša 85 litrov.,JUTRI,Mimovrste,"259,90 €"
4,2617002,Beko RFSA240M31WN zamrzovalna omara,60x,Zamrzovalna omara Beko RFSA240M31WN z 215 litri prostornine ima šest zamrzovalnih predalov. Spada v energijski razred F. Odlikujeta jo tiho delovanje in mehansko upravljanje.,JUTRI,Mimovrste,"374,30 €"
5,2619374,Beko RFNE312E43WN zamrzovalna omara,63x,"Prostostoječo zamrzovalno omaro Beko RFNE312E43WN odlikujejo prostornina 282 litrov, šest zamrzovalnih predalov, dve polici in LED osvetlitev.",JUTRI,Mimovrste,"613,50 €"
6,28853488,VOX electronics BE1-200RL zamrzovalna skrinja,2x,"Vox-electronics BE1–200RL je zamrzovalna skrinja s prostornino 198 litrov, ki predstavlja odlično rešitev za učinkovito shranjevanje živil. Na dan lahko zamrzne do 10 kg živil. Uvršča se v energijski razred F.",JUTRI,Mimovrste,"206,99 €"
7,17491830,Gorenje FN619FEW5 zamrzovalna omara,41x,Gorenje zmrzovalna omara FN619FEW5 spada v energijski razred F. Ponaša se z NoFrost tehnologijo in samostoječo izvedbo v beli barvi.,JUTRI,Mimovrste,"499,99 €"
8,2550077,Gorenje zamrzovalna skrinja FH451CW,57x,"Zamrzovalna skrinja v energijskem razredu E s skupno prostornino 457 l. Gorenje FH451CW skrinja je opremljena z elektronskim krmiljenjem, ročnim odtaljevanjem, varnostno zaklepanjem vrat in zaščito pred zmrzaljo FreezeProtect –15° C. V zamrzovalnem predelu najdete 3 košare.",JUTRI,Mimovrste,"429,90 €"
9,28878913,VOX electronics VF 2520 S F zamrzovalna omara,3x,Vox prostorna zamrzovalna omara nudi 168 l prostora in spada v energijski razred F. Ponaša se s petimi ločenimi odlagalnimi površinami in preprostim mehanskim upravljanjem.,JUTRI,Mimovrste,"260,99 €"
10,3031407,LORD F7 zamrzovalna omara,29x,Mini zamrzovalna omara Lord F7 s 33 litri prostornine spada v energijski razred E. Ima mehansko upravljanje temperature in ročni sistem odtajevanja.,JUTRI,Mimovrste,"149,99 €"
11,3047580,VOX electronics VF 1510 F zamrzovalnik,48x,"Prostostoječi vertikalni zamrzovalnik Vox VF 1510 F spada v energijski razred F. Letno porabi 208 kWh energije, med delovanjem pa proizvede 40 dB hrupa. Prostornina zamrzovalnika znaša 91 litrov.",JUTRI,Mimovrste,"179,99 €"
12,732864,Candy CCTUS 542XH zamrzovalna omara,90x,Candy zamrzovalna omara CCTUS 542 XH s prostornino 91 l sodi v energijski razred F. Na voljo so 4 zamrzovalni predali.,JUTRI,Mimovrste,"249,90 €"
13,19196279,Gorenje FN619EAW6 zamrzovalna omara,4x,Gorenje FN619EAW6 zamrzovalna omara ponuja 280 litrov prostornine in se uvršča v E energijski razred učinkovitosti. S sistemom NoFrost omogoča odstranjevanje vlage iz zamrzovalne omare. Funkcija FastFreeze poskrbi za učinkovito in hitro zamrzovanje hrane.,JUTRI,Mimovrste,"649,90 €"
14,2490253,TESLA RH2000M1 zamrzovalna skrinja,44x,"Zamrzovalna skrinja Tesla RH2000M1 z 198 litri uporabne prostornine se uvršča v energijski razred F. V 24 urah učinkovito zamrzne 9 kg živil. Upravljanje skrinje je mehansko, v njej pa se nahajata tudi dve žičnati košari.",JUTRI,Mimovrste,"259,90 €"
15,32305662,Vivax Zamrzovalna omara TTF-60,1x,Zavzame malo prostora.,31.8.,N/A,"159,90 €"
16,2946150,VOX electronics VF 2500 F zamrzovalna omara,8x,"VOX Electronics predstavlja odličen zamrzovalnik VF 2500 F, ki ga odlikuje prostornina 188 l in posebnih 6 prozornih predalov, ki so namenjeni shranjevanju živil.",JUTRI,Mimovrste,"305,99 €"
17,3052870,Beko FNE1073N zamrzovalna omara,4x,"Zamrzovalna omara Beko FNE1073N je s prostornino 86 l, dvema predaloma, prekatom z loputo in zmogljivostjo zamrzovanja 10 kg v 24 urah idealna zamrzovalna omara za manjša gospodinjstva.",JUTRI,Mimovrste,"339,99 €"
18,28853527,VOX electronics BE1-300RL zamrzovalna skrinja,3x,"Vox-electronics BE1–300RL je zamrzovalna skrinja s prostornino 287 litrov, ki predstavlja odlično rešitev za učinkovito shranjevanje živil. Na dan lahko zamrzne do 14 kg živil. Uvršča se v energijski razred F.",JUTRI,Mimovrste,"251,99 €"
19,2787757,"VOX electronics VF 1200 F zamrzovalnik, 63 l",3x,"VOX zamrzovalna omara VF 1200F je cenovno ugodna ter priročnih dimenzij, kar pomeni, da jo boste brez težav umestili tudi v manjše prostore.",JUTRI,Mimovrste,"170,99 €"
20,2781566,LORD zamrzovalna omara F3,50x,"Zamrzovalna omara LORD F3, z uporabno prostornino 91 l, se ponaša z zmogljivostjo zamrzovanja do 4,4 kg/24 h.",JUTRI,Mimovrste,"229,99 €"
21,19196298,Gorenje FN619EAXL6 zamrzovalna omara,5x,Gorenje FN619EAXL6 zamrzovalna omara ponuja 280 litrov prostornine in se uvršča v E energijski razred učinkovitosti. S sistemom NoFrost omogoča odstranjevanje vlage iz zamrzovalne omare. Funkcija FastFreeze poskrbi za učinkovito in hitro zamrzovanje hrane.,JUTRI,Mimovrste,"679,90 €"
22,3052869,Beko FSE1073N zamrzovalna omara,2x,"Zamrzovalna omara Beko FNE1073N je s prostornino 85 l, enim predalom, dvema prekatoma z loputo in zmogljivostjo zamrzovanja 10,5 kg v 24 urah idealna zamrzovalna omara za manjša gospodinjstva.",JUTRI,Mimovrste,"239,90 €"
23,7522931,Gorenje FH21FPW zamrzovalna skrinja,6x,"Gorenje predstavlja FH21FPW zamrzovalna skrinja, energijske učinkovitosti F. Skrinja je samostojno stoječa, širine 80,2 cm in višine 85,4 cm.",JUTRI,Mimovrste,314 €
24,10539736,Liebherr SIFNSf 5128 vgradna zamrzovalna omara s sistemom NoFrost,N/A,"Vgradna zamrzovalna omara Liebherr SIFNSf 5128 s prostornino 213 litrov, sodi v F energijski razred. S tehnologijo SuperSilent, je vgradna zamrzovalna izredno tiha, skoraj neslišna. Ponaša se s sistemom NoFrost.",JUTRI,Mimovrste,1.699 €
25,2912057,Liebherr GN 4135 zamrzovalna omara,N/A,"Prostostoječa zamrzovalna omara Liebherr GN 4135 s prostornino 270 l se uvršča v energijski razred D. Ima NoFrost sistem, ki preprečuje nastajanje ledu. Na dan zamrzne do 16 kg živil, v primeru motenj napajanja pa jih ohranja zamrznjena še 9 ur.",JUTRI,Mimovrste,1.099 €
26,25998556,"LORD G4 zmrzovalna skrinja, 287 l",2x,Lord zmrzovalna skrinja G4 spada v energijski razred E. Ponaša se s prostornino 298 l in visečo košaro za manjša živila. S funkcijo SuperFrost bodo vaša živila hitro zamrznjena.,JUTRI,Mimovrste,"439,99 €"
27,20699996,"Greatstore Vrtna skrinja, 175x50x53 cm, masivna tikovina",N/A,Ta vrtna skrinja z enostavno odpirajočim se pokrovom vam bo zagotovila veliko prostora za shranjevanje orodja in drugih pripomočkov.,"1.9. -
      5.9.",N/A,"404,90 €"
28,20815620,"Greatstore Vrtna skrinja, 200x50x53 cm, masivna tikovina",N/A,Ta vrtna skrinja z enostavno odpirajočim se pokrovom vam bo zagotovila veliko prostora za shranjevanje orodja in drugih pripomočkov.,"1.9. -
      5.9.",N/A,"480,77 €"
29,973198,GUZZANTI GZ 145 zamrzovalna skrinja,32x,Zamrzovalna skrinja Guzzanti GZ 145 spada v energijski razred F. Ponuja 142 litrov prostornine za shranjevanje hrane. Ima ročno nastavljiv termostat za enostavno nastavitev temperature.,30.8.,Mimovrste,"222,29 €"
30,1249810,GUZZANTI pultni zamrzovalnik GZ 220A,16x,Pultni zamrzovalnik v energijskem razredu E ima prostornino 198 litrov. Zmrzovalnik Guzzanti GZ 220A z električnim termostatom zagotavlja dovolj prostora za vso hrano. Zmrzovalnik v beli barvi zdrži 30 ur delovanja po izpadu električne energije.,30.8.,Mimovrste,"324,79 €"
31,2657095,GUZZANTI GZ 101S zamrzovalnik,18x,"Prostorni zamrzovalnik v energijskem razredu A + (stari) ima prostornino 100 litrov. Zmrzovalnik Guzzanti GZ 101S s termostatom zagotavlja dovolj prostora za vso hrano. Zmrzovalnik, v beli barvi, zdrži 24 ur delovanja po izpadu električne energije.",30.8.,Mimovrste,"219,59 €"
32,2959707,Beko RFNE448E45W zamrzovalna omara,55x,"Zamrzovalna omara Beko RFNE448E45W s funkcijo NoFrost in 404 litri prostornine spada v energijski razred D. Odlikujejo jo elektronsko upravljanje, LED osvetlitev in ProSmart™ Inverter motor.",1.9.,Mimovrste,"757,90 €"
33,28878627,VOX electronics VF 1020 F zamrzovalna omara,1x,Vox zamrzovalna omara z dvema predaloma in eno polico. Nudi 60 l prostornine in spada v energijski razred F.,31.8.,Mimovrste,"152,99 €"
34,832773,Candy zamrzovalna omara CCTUS 542 WH,52x,Candy zamrzovalna omara CCTUS 542 WH s prostornino 91 l sodi v energijski razred F. Na voljo so 4 zamrzovalni predali. Bel videz je dopolnjen z ročajem iz nerjavečega jekla.,1.9.,Mimovrste,"239,90 €"
